date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
01-01-2021,California,State,Alpha,1,1.69,,
01-01-2021,California,State,Lambda,0,0,,
01-01-2021,California,State,Other,29,49.15,,
01-01-2021,California,State,Epsilon,28,47.46,,
01-01-2021,California,State,Omicron,1,1.69,,
01-01-2021,California,State,Beta,0,0,,
01-01-2021,California,State,Total,59,100,,
01-01-2021,California,State,Delta,0,0,,
01-01-2021,California,State,Mu,0,0,,
01-01-2021,California,State,Gamma,0,0,,
02-01-2021,California,State,Alpha,6,5.56,,
02-01-2021,California,State,Epsilon,47,43.52,,
02-01-2021,California,State,Other,53,49.07,,
02-01-2021,California,State,Omicron,1,0.93,,
02-01-2021,California,State,Mu,0,0,,
02-01-2021,California,State,Beta,0,0,,
02-01-2021,California,State,Lambda,0,0,,
02-01-2021,California,State,Delta,1,0.93,,
02-01-2021,California,State,Total,108,100,,
02-01-2021,California,State,Gamma,0,0,,
03-01-2021,California,State,Alpha,5,1.87,,
03-01-2021,California,State,Gamma,1,0.37,,
03-01-2021,California,State,Lambda,0,0,,
03-01-2021,California,State,Total,267,100,,
03-01-2021,California,State,Delta,2,0.75,,
03-01-2021,California,State,Mu,0,0,,
03-01-2021,California,State,Beta,0,0,,
03-01-2021,California,State,Other,140,52.43,,
03-01-2021,California,State,Omicron,2,0.75,,
03-01-2021,California,State,Epsilon,117,43.82,,
04-01-2021,California,State,Delta,5,0.4,,
04-01-2021,California,State,Alpha,5,0.4,,
04-01-2021,California,State,Epsilon,691,54.88,,
04-01-2021,California,State,Beta,0,0,,
04-01-2021,California,State,Lambda,0,0,,
04-01-2021,California,State,Total,1259,100,,
04-01-2021,California,State,Gamma,0,0,,
04-01-2021,California,State,Mu,0,0,,
04-01-2021,California,State,Other,558,44.32,,
04-01-2021,California,State,Omicron,0,0,,
05-01-2021,California,State,Delta,0,0,,
05-01-2021,California,State,Other,356,43.84,,
05-01-2021,California,State,Alpha,16,1.97,,
05-01-2021,California,State,Epsilon,440,54.19,,
05-01-2021,California,State,Mu,0,0,,
05-01-2021,California,State,Total,812,100,,
05-01-2021,California,State,Gamma,0,0,,
05-01-2021,California,State,Beta,0,0,,
05-01-2021,California,State,Lambda,0,0,,
05-01-2021,California,State,Omicron,0,0,,
06-01-2021,California,State,Alpha,3,0.81,,
06-01-2021,California,State,Epsilon,207,55.95,,
06-01-2021,California,State,Omicron,2,0.54,,
06-01-2021,California,State,Gamma,0,0,,
06-01-2021,California,State,Total,370,100,,
06-01-2021,California,State,Lambda,0,0,,
06-01-2021,California,State,Delta,3,0.81,,
06-01-2021,California,State,Mu,0,0,,
06-01-2021,California,State,Other,155,41.89,,
06-01-2021,California,State,Beta,0,0,,
07-01-2021,California,State,Total,299,100,453.4285714,100
07-01-2021,California,State,Omicron,2,0.67,1.142857143,0.252047889
07-01-2021,California,State,Delta,0,0,1.571428571,0.346565848
07-01-2021,California,State,Gamma,0,0,0.142857143,0.031505986
07-01-2021,California,State,Epsilon,155,51.84,240.7142857,53.08758664
07-01-2021,California,State,Lambda,0,0,0,0
07-01-2021,California,State,Beta,0,0,0,0
07-01-2021,California,State,Alpha,15,5.02,7.285714286,1.606805293
07-01-2021,California,State,Mu,0,0,0,0
07-01-2021,California,State,Other,127,42.47,202.5714286,44.67548834
08-01-2021,California,State,Mu,0,0,0,0
08-01-2021,California,State,Lambda,0,0,0,0
08-01-2021,California,State,Alpha,2,1.34,7.428571429,1.593137255
08-01-2021,California,State,Omicron,1,0.67,1.142857143,0.245098039
08-01-2021,California,State,Total,149,100,466.2857143,100
08-01-2021,California,State,Gamma,0,0,0.142857143,0.030637255
08-01-2021,California,State,Beta,0,0,0,0
08-01-2021,California,State,Delta,2,1.34,1.857142857,0.398284314
08-01-2021,California,State,Other,65,43.62,207.7142857,44.54656863
08-01-2021,California,State,Epsilon,79,53.02,248,53.18627451
09-01-2021,California,State,Gamma,0,0,0.142857143,0.02708559
09-01-2021,California,State,Lambda,0,0,0,0
09-01-2021,California,State,Alpha,6,1.12,7.428571429,1.408450704
09-01-2021,California,State,Other,220,41.04,231.5714286,43.90574215
09-01-2021,California,State,Epsilon,308,57.46,285.2857143,54.08992416
09-01-2021,California,State,Omicron,1,0.19,1.142857143,0.216684724
09-01-2021,California,State,Mu,0,0,0,0
09-01-2021,California,State,Delta,1,0.19,1.857142857,0.352112676
09-01-2021,California,State,Total,536,100,527.4285714,100
09-01-2021,California,State,Beta,0,0,0,0
10-01-2021,California,State,Delta,0,0,1.571428571,0.306834031
10-01-2021,California,State,Mu,0,0,0,0
10-01-2021,California,State,Other,69,43.12,221.4285714,43.23570432
10-01-2021,California,State,Gamma,0,0,0,0
10-01-2021,California,State,Total,160,100,512.1428571,100
10-01-2021,California,State,Epsilon,90,56.25,281.4285714,54.9511855
10-01-2021,California,State,Alpha,0,0,6.714285714,1.311018131
10-01-2021,California,State,Beta,0,0,0,0
10-01-2021,California,State,Lambda,0,0,0,0
10-01-2021,California,State,Omicron,1,0.62,1,0.19525802
11-01-2021,California,State,Gamma,0,0,0,0
11-01-2021,California,State,Lambda,0,0,0,0
11-01-2021,California,State,Delta,2,0.35,1.142857143,0.276529554
11-01-2021,California,State,Other,280,49.38,181.7142857,43.9681991
11-01-2021,California,State,Alpha,8,1.41,7.142857143,1.728309713
11-01-2021,California,State,Omicron,2,0.35,1.285714286,0.311095748
11-01-2021,California,State,Mu,1,0.18,0.142857143,0.034566194
11-01-2021,California,State,Beta,1,0.18,0.142857143,0.034566194
11-01-2021,California,State,Total,567,100,413.2857143,100
11-01-2021,California,State,Epsilon,273,48.15,221.7142857,53.64673349
12-01-2021,California,State,Epsilon,304,54.68,202.2857143,53.69738339
12-01-2021,California,State,Total,556,100,376.7142857,100
12-01-2021,California,State,Alpha,9,1.62,6.142857143,1.63064088
12-01-2021,California,State,Lambda,0,0,0,0
12-01-2021,California,State,Other,241,43.35,165.2857143,43.87561623
12-01-2021,California,State,Beta,0,0,0.142857143,0.037921881
12-01-2021,California,State,Gamma,1,0.18,0.142857143,0.037921881
12-01-2021,California,State,Mu,0,0,0.142857143,0.037921881
12-01-2021,California,State,Delta,1,0.18,1.285714286,0.341296928
12-01-2021,California,State,Omicron,0,0,1.285714286,0.341296928
13-01-2021,California,State,Other,228,39.38,175.7142857,43.21855235
13-01-2021,California,State,Delta,1,0.17,1,0.245959241
13-01-2021,California,State,Lambda,0,0,0,0
13-01-2021,California,State,Total,579,100,406.5714286,100
13-01-2021,California,State,Alpha,9,1.55,7,1.721714687
13-01-2021,California,State,Epsilon,339,58.55,221.1428571,54.3921293
13-01-2021,California,State,Mu,0,0,0.142857143,0.035137034
13-01-2021,California,State,Omicron,2,0.35,1.285714286,0.31623331
13-01-2021,California,State,Beta,0,0,0.142857143,0.035137034
13-01-2021,California,State,Gamma,0,0,0.142857143,0.035137034
14-01-2021,California,State,Mu,0,0,0.142857143,0.031036623
14-01-2021,California,State,Gamma,0,0,0.142857143,0.031036623
14-01-2021,California,State,Total,675,100,460.2857143,100
14-01-2021,California,State,Omicron,0,0,1,0.217256363
14-01-2021,California,State,Lambda,0,0,0,0
14-01-2021,California,State,Epsilon,425,62.96,259.7142857,56.42458101
14-01-2021,California,State,Other,236,34.96,191.2857143,41.55803849
14-01-2021,California,State,Beta,0,0,0.142857143,0.031036623
14-01-2021,California,State,Alpha,14,2.07,6.857142857,1.489757914
14-01-2021,California,State,Delta,0,0,1,0.217256363
15-01-2021,California,State,Total,570,100,520.4285714,100
15-01-2021,California,State,Delta,2,0.35,1,0.192149327
15-01-2021,California,State,Alpha,8,1.4,7.714285714,1.482294812
15-01-2021,California,State,Omicron,0,0,0.857142857,0.164699424
15-01-2021,California,State,Gamma,0,0,0.142857143,0.027449904
15-01-2021,California,State,Lambda,0,0,0,0
15-01-2021,California,State,Epsilon,320,56.14,294.1428571,56.51935218
15-01-2021,California,State,Other,240,42.11,216.2857143,41.55915454
15-01-2021,California,State,Mu,0,0,0.142857143,0.027449904
15-01-2021,California,State,Beta,0,0,0.142857143,0.027449904
16-01-2021,California,State,Gamma,0,0,0.142857143,0.02602811
16-01-2021,California,State,Other,329,44.76,231.8571429,42.24362311
16-01-2021,California,State,Delta,0,0,0.857142857,0.156168662
16-01-2021,California,State,Epsilon,389,52.93,305.7142857,55.70015617
16-01-2021,California,State,Alpha,17,2.31,9.285714286,1.691827173
16-01-2021,California,State,Beta,0,0,0.142857143,0.02602811
16-01-2021,California,State,Omicron,0,0,0.714285714,0.130140552
16-01-2021,California,State,Mu,0,0,0.142857143,0.02602811
16-01-2021,California,State,Total,735,100,548.8571429,100
16-01-2021,California,State,Lambda,0,0,0,0
17-01-2021,California,State,Mu,0,0,0.142857143,0.025025025
17-01-2021,California,State,Alpha,3,0.96,9.714285714,1.701701702
17-01-2021,California,State,Lambda,0,0,0,0
